date,rank,model,score,ci95,votes,organization,license
"Nov 6, 2025",1,gemini-2.5-pro,1452,±4,"61,890",Google,Proprietary
"Nov 6, 2025",1,claude-sonnet-4-5-20250929-thinking-32k,1448,±6,"12,986",Anthropic,Proprietary
"Nov 6, 2025",1,claude-opus-4-1-20250805-thinking-16k,1448,±5,"28,595",Anthropic,Proprietary
"Nov 6, 2025",2,gpt-4.5-preview-2025-02-27,1442,±6,"14,644",OpenAI,Proprietary
"Nov 6, 2025",2,claude-opus-4-1-20250805,1439,±4,"41,049",Anthropic,Proprietary
"Nov 6, 2025",4,chatgpt-4o-latest-20250326,1438,±4,"47,608",OpenAI,Proprietary
"Nov 6, 2025",4,gpt-5-high,1437,±5,"30,138",OpenAI,Proprietary
"Nov 6, 2025",2,claude-sonnet-4-5-20250929,1436,±8,"5,484",Anthropic,Proprietary
"Nov 6, 2025",4,o3-2025-04-16,1433,±4,"58,575",OpenAI,Proprietary
"Nov 6, 2025",4,qwen3-max-preview,1433,±5,"25,067",Alibaba,Proprietary
"Nov 6, 2025",2,ernie-5.0-preview-1022,1432,±13,"2,132",Baidu,Proprietary
"Nov 6, 2025",6,glm-4.6,1429,±6,"10,511",Z.ai,MIT
"Nov 6, 2025",9,gpt-5-chat,1425,±5,"28,925",OpenAI,Proprietary
"Nov 6, 2025",8,qwen3-max-2025-09-23,1424,±6,"9,302",Alibaba,Proprietary
"Nov 6, 2025",11,claude-opus-4-20250514-thinking-16k,1423,±4,"37,996",Anthropic,Proprietary
"Nov 6, 2025",11,deepseek-v3.2-exp-thinking,1421,±7,"9,274",DeepSeek AI,MIT
"Nov 6, 2025",11,qwen3-235b-a22b-instruct-2507,1420,±4,"36,518",Alibaba,Apache 2.0
"Nov 6, 2025",11,grok-4-fast,1420,±8,"7,097",xAI,Proprietary
"Nov 6, 2025",11,deepseek-r1-0528,1417,±6,"19,265",DeepSeek,MIT
"Nov 6, 2025",11,kimi-k2-0905-preview,1417,±7,"10,704",Moonshot,Modified MIT
"Nov 6, 2025",12,deepseek-v3.1,1416,±6,"15,299",DeepSeek,MIT
"Nov 6, 2025",11,deepseek-v3.1-thinking,1416,±7,"12,035",DeepSeek,MIT
"Nov 6, 2025",12,kimi-k2-0711-preview,1415,±5,"28,261",Moonshot,Modified MIT
"Nov 6, 2025",12,qwen3-vl-235b-a22b-instruct,1415,±7,"8,589",Alibaba,Apache 2.0
"Nov 6, 2025",11,deepseek-v3.1-terminus,1415,±10,"3,762",DeepSeek AI,MIT
"Nov 6, 2025",11,deepseek-v3.1-terminus-thinking,1414,±10,"3,533",DeepSeek AI,MIT
"Nov 6, 2025",14,deepseek-v3.2-exp,1413,±6,"11,093",DeepSeek AI,MIT
"Nov 6, 2025",16,gpt-4.1-2025-04-14,1412,±4,"49,366",OpenAI,Proprietary
"Nov 6, 2025",16,claude-opus-4-20250514,1412,±4,"45,788",Anthropic,Proprietary
"Nov 6, 2025",17,mistral-medium-2508,1410,±5,"30,869",Mistral,Proprietary
"Nov 6, 2025",18,grok-3-preview-02-24,1410,±4,"34,174",xAI,Proprietary
"Nov 6, 2025",18,grok-4-0709,1409,±4,"36,099",xAI,Proprietary
"Nov 6, 2025",18,glm-4.5,1408,±5,"24,925",Z.ai,MIT
"Nov 6, 2025",19,gemini-2.5-flash,1408,±4,"61,206",Google,Proprietary
"Nov 6, 2025",20,gemini-2.5-flash-preview-09-2025,1406,±6,"14,091",Google,Proprietary
"Nov 6, 2025",24,claude-haiku-4-5-20251001,1403,±6,"10,501",Anthropic,Proprietary
"Nov 6, 2025",28,qwen3-next-80b-a3b-instruct,1401,±5,"20,020",Alibaba,Apache 2.0
"Nov 6, 2025",32,o1-2024-12-17,1400,±4,"28,039",OpenAI,Proprietary
"Nov 6, 2025",34,claude-sonnet-4-20250514-thinking-32k,1399,±4,"36,329",Anthropic,Proprietary
"Nov 6, 2025",30,longcat-flash-chat,1399,±6,"11,567",Meituan,MIT
"Nov 6, 2025",35,qwen3-235b-a22b-no-thinking,1399,±5,"39,476",Alibaba,Apache 2.0
"Nov 6, 2025",34,qwen3-235b-a22b-thinking-2507,1397,±6,"9,370",Alibaba,Apache 2.0
"Nov 6, 2025",36,deepseek-r1,1395,±5,"18,718",DeepSeek,MIT
"Nov 6, 2025",36,qwen3-vl-235b-a22b-thinking,1393,±7,"8,026",Alibaba,Apache 2.0
"Nov 6, 2025",36,gpt-5-mini-high,1392,±5,"24,692",OpenAI,Proprietary
"Nov 6, 2025",39,deepseek-v3-0324,1391,±4,"46,909",DeepSeek,MIT
"Nov 6, 2025",39,o4-mini-2025-04-16,1391,±4,"46,980",OpenAI,Proprietary
"Nov 6, 2025",38,mai-1-preview,1390,±5,"18,269",Microsoft AI,Proprietary
"Nov 6, 2025",41,claude-sonnet-4-20250514,1389,±4,"41,755",Anthropic,Proprietary
"Nov 6, 2025",42,o1-preview,1386,±5,"31,505",OpenAI,Proprietary
"Nov 6, 2025",43,claude-3-7-sonnet-20250219-thinking-32k,1386,±4,"39,970",Anthropic,Proprietary
"Nov 6, 2025",44,qwen3-coder-480b-a35b-instruct,1385,±5,"23,238",Alibaba,Apache 2.0
"Nov 6, 2025",41,hunyuan-t1-20250711,1385,±9,"4,835",Tencent,Proprietary
"Nov 6, 2025",45,mistral-medium-2505,1382,±5,"34,550",Mistral,Proprietary
"Nov 6, 2025",45,qwen3-30b-a3b-instruct-2507,1382,±5,"24,267",Alibaba,Apache 2.0
"Nov 6, 2025",50,gpt-4.1-mini-2025-04-14,1380,±4,"40,572",OpenAI,Proprietary
"Nov 6, 2025",48,hunyuan-turbos-20250416,1380,±6,"11,144",Tencent,Proprietary
"Nov 6, 2025",49,gemini-2.5-flash-lite-preview-09-2025-no-thinking,1379,±6,"14,075",Google,Proprietary
"Nov 6, 2025",52,gemini-2.5-flash-lite-preview-06-17-thinking,1375,±5,"34,093",Google,Proprietary
"Nov 6, 2025",53,qwen3-235b-a22b,1373,±5,"27,206",Alibaba,Apache 2.0
"Nov 6, 2025",56,qwen2.5-max,1372,±4,"33,561",Alibaba,Proprietary
"Nov 6, 2025",57,Claude 3.5 Sonnet (10/22),1371,±3,"89,886",Anthropic,Proprietary
"Nov 6, 2025",57,glm-4.5-air,1371,±5,"28,769",Z.ai,MIT
"Nov 6, 2025",59,qwen3-next-80b-a3b-thinking,1367,±6,"13,905",Alibaba,Apache 2.0
"Nov 6, 2025",60,minimax-m1,1366,±4,"36,989",MiniMax,Apache 2.0
"Nov 6, 2025",61,gemma-3-27b-it,1364,±4,"49,440",Google,Gemma
"Nov 6, 2025",63,grok-3-mini-high,1362,±5,"17,621",xAI,Proprietary
"Nov 6, 2025",63,o3-mini-high,1362,±5,"18,735",OpenAI,Proprietary
"Nov 6, 2025",64,grok-3-mini-beta,1357,±5,"23,850",xAI,Proprietary
"Nov 6, 2025",65,deepseek-v3,1357,±5,"21,994",DeepSeek,DeepSeek
"Nov 6, 2025",67,mistral-small-2506,1354,±5,"18,381",Mistral,Apache 2.0
"Nov 6, 2025",69,gemini-2.0-flash-lite-preview-02-05,1352,±4,"25,215",Google,Proprietary
"Nov 6, 2025",67,glm-4.5v,1351,±8,"5,000",Z.ai,MIT
"Nov 6, 2025",69,command-a-03-2025,1351,±4,"54,750",Cohere,CC-BY-NC-4.0
"Nov 6, 2025",69,Gemini-1.5-Pro-002,1351,±3,"56,012",Google,Proprietary
"Nov 6, 2025",69,gpt-oss-120b,1351,±5,"28,204",OpenAI,Apache 2.0
"Nov 6, 2025",71,o3-mini,1347,±3,"58,889",OpenAI,Proprietary
"Nov 6, 2025",67,hunyuan-turbos-20250226,1345,±12,"2,250",Tencent,Proprietary
"Nov 6, 2025",69,ling-flash-2.0,1345,±7,"7,198",Ant Group,MIT
"Nov 6, 2025",69,llama-3.1-nemotron-ultra-253b-v1,1345,±12,"2,573",Nvidia,Nvidia Open Model
"Nov 6, 2025",69,amazon-nova-experimental-chat-10-09,1344,±11,"2,903",Amazon,Proprietary
